NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
426;Man;40;40000-150000 invånare;13;Ja;13;16;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;23;Ja, jag önskar nu att jag vore (helt) heterosexuell;Nej;Ja, det har jag alltid gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;28;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;;X;X;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Ja;X;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
427;Man;55;40000-150000 invånare;15;Ja;16;14;Ja;15;Bisexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;X;;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
428;Man;55;Fler än 150000 invånare;17;Ja;17;16;Ja;19;Homosexuell;Ja;19;Nej;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Inget svar;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;X;;;;;;;;;;;X;X;X;X;X;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Inget svar;Inget svar; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Nej;X;;;;;;Nej;Ja, jag har varit ängslig och orolig;Ja
429;Man;30;Fler än 150000 invånare;10;Ja;15;18;Ja;20;Bisexuell;Ja;20;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Ja;Nej;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;;;;Reaktion som är varken positiv eller negativ;;;;X;;;;;;;;;;;Förvärvsarbe;Övriga;Framgår inte, inget svar;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;X;;;;;76;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
430;Man;47;10000-40000 invånare;14;Ja;14;14;Ja;18;Homosexuell;Ja;14;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Nej;;;;;;;;;;;;;Reaktion som är både positiv och negativ;;;;;;;;;;;;X;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
431;Man;43;Färre än 10000 invånare;6;Ja;22;13;Ja;15;Homosexuell;Ja;23;Nej;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Nej;Ja;69;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;;Nej;;;;;;;;;Nej;
432;Man;58;Fler än 150000 invånare;14;Ja;16;17;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;Studerande;;;;Jag vet inte om någon förstår det;Ja;;;;X;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
433;Man;58;Fler än 150000 invånare;15;Ja;16;18;Ja;20;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;X;;;;;;;;;;X;;;X;;;X;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
434;Man;46;Fler än 150000 invånare;14;Ja;16;15;Ja;20;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Jag vet inte om någon förstår det;Ja, för flera bakanta;;X;;;;;;X;;X;;;;;X;;;;X;;;;;X;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;framgår inte, inget svar;Jag vet inte om någon förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Ja;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
435;Man;58;Fler än 150000 invånare;14;Ja;16;14;Ja;19;Homosexuell;Ja;18;Nej;Ja;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;X;;;;;;;;;;;;;X;;;;X;;;;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
436;Man;43;Jag bor på landsbygden;12;Ja;13;15;Ja;17;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Ja;68;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Nej
437;Man;51;Fler än 150000 invånare;12;Ja;14;18;Ja;20;Bisexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
438;Man;47;Fler än 150000 invånare;13;Ja;21;13;Ja;23;Homosexuell;Ja;13;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är den största svårigheten man har som homo/bisexuell;Nej;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Jag har diskriminerats;X;;;;;78;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
439;Man;61;Fler än 150000 invånare;14;Ja;15;15;Ja;16;Homosexuell;Ja;17;Nej;Nej;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Försäljning;Arbetsledande funktion;framgår inte, inget svar;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;;;;;;;;;Nej;
440;Man;51;Fler än 150000 invånare;15;Ja;19;18;Ja;19;Homosexuell;Ja;19;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;X;X;;X;;;X;X;;;Förvärvsarbe;Poliser, väktare, militärer;Arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;X;;;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
441;Man;52;Fler än 150000 invånare;4;Ja;19;15;Ja;19;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Nej;Nej;Nej;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;X;;;;;;;;;;;;;;X;;;X;;;;Förvärvsarbe;Undervisning, forskning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
442;Man;57;Fler än 150000 invånare;13;Ja;21;13;Ja;21;Homosexuell;Ja;13;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;;;X;;;;;;;;;;;;;X;;X;;X;;;;;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
443;Man;34;Fler än 150000 invånare;15;Ja;23;28;Ja;28;Homosexuell;Ja;29;Nej;Ja;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;30;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Inget svar;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Inget svar;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;
444;Man;50;Fler än 150000 invånare;10;Ja;13;15;Ja;20;Homosexuell;Ja;25;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Studerande;;;;Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater och en psykolog;Nej;;X;;;;;Ja;Ja, jag har varit ängslig och orolig;Nej
445;Man;52;Fler än 150000 invånare;12;Ja;19;15;Ja;19;Homosexuell;Ja;20;Nej;Nej;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Övriga;Framgår inte, inget svar;framgår inte, inget svar;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
446;Man;60;Fler än 150000 invånare;11;Ja;11;13;Ja;14;Bisexuell;Ja;14;Nej;Ja;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;11;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;;;;"intetsägande svar (ex. ""olika reaktioner"")";;;;;;;;;;X;;;;;Förvärvsarbe;Restaurang och hotell;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Nej;;;X;;;;Nej;Ja, jag har varit ängslig och orolig;Nej
447;Man;44;40000-150000 invånare;17;Ja;29;99;Ja;29;Homosexuell;Inget svar;;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;33;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Tjänstemän, ospecificerad;Framgår inte, inget svar;framgår inte, inget svar;Någon enstaka vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
448;Man;61;Fler än 150000 invånare;13;Ja;13;13;Ja;19;Homosexuell;Ja;13;Nej;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;X;;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Förvärvsarbe;Restaurang och hotell;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Inget svar; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykolog;Ja;;X;;;;;Nej;Ja, jag har varit ängslig och orolig;Ja
449;Man;56;40000-150000 invånare;18;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;21;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;21;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;X;;X;;;;X;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;X;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
450;Man;50;Fler än 150000 invånare;17;Ja;18;17;Ja;17;Bisexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;Förvärvsarbe;Transport- och lagerarbete;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
451;Man;52;Fler än 150000 invånare;10;Ja;20;16;Ja;24;Homosexuell;Ja;24;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;;;;X;;;;;X;;;;;;;;X;;;;;Förvärvsarbe;Journalistik, litterär verksamhet;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;;;;;X;77;Har svarat i fritextfältet;Ja;Nej;Nej;;;;;;;;;Nej;
452;Man;58;Fler än 150000 invånare;15;Ja;21;18;Ja;20;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;21;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;X;;;;;;X;;;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Ja;;;;;;X;Nej;Nej;
453;Man;42;Jag bor på landsbygden;20;Ja;16;25;Ja;25;Homosexuell;Ja;30;Nej;Nej;Ja, det har jag alltid gjort;Jag träffar homo/bisexuella vänner mycket sällan;Ja;35;Det är den största svårigheten man har som homo/bisexuell;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag har inga heterosexuella bekanta;Nej;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;Förvärvsarbe;Jordbruk, fiske, skogsbruk;Ingen arbetsledande funktion;framgår inte, inget svar;Jag har inga arbetskamrater eller studiekamrater;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Jag har inga arbetskamrater (studiekamrater);Jag har aldrig förvärvsarbetet; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
454;Man;60;10000-40000 invånare;14;Ja;17;17;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Ja;18;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag då och då;Jag har inga homo/bisexuella vänner;Ja;18;Det är den största svårigheten man har som homo/bisexuell;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;Studerande;;;;Jag har inga arbetskamrater eller studiekamrater;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Jag har inga arbetskamrater (studiekamrater);Jag har aldrig förvärvsarbetet; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
